endTime,artistName,trackName,msPlayed
2021-02-16 01:18,Sasha Alex Sloan,Dancing With Your Ghost,197732
2021-02-16 01:24,Sufjan Stevens,Should Have Known Better,307697
2021-02-16 01:26,Kina,Wish I Was Better,140571
2021-02-16 01:29,Birdy,People Help the People,59819
2021-02-16 01:29,Birdy,People Help the People,0
2021-02-16 01:29,Wild Cherry,Play That Funky Music,9990
2021-02-16 01:34,Sylvan Esso,Coffee,269693
2021-02-16 01:38,Maggie Rogers,Dog Years,277506
2021-02-16 01:42,Fleet Foxes,Oliver James,203866
2021-02-16 04:46,Horse Feathers,Belly of June,163143
2021-02-16 04:50,Kanye West,Ghost Town,271386
2021-02-16 04:51,Barefoot Truth,Walk Softly,20881
2021-02-16 04:53,alt-J,Left Hand Free,173630
2021-02-16 04:57,The Head And The Heart,All We Ever Knew,225560
2021-02-16 04:59,Moondog,Bird's Lament,123893
2021-02-16 05:02,Wyclef Jean,We Trying to Stay Alive (feat. Refugee All Stars),191533
2021-02-16 05:05,Solange,Stay Flo,175706
2021-02-16 05:09,Sylvan Esso,Die Young,210613
2021-02-16 05:13,BROCKHAMPTON,NO HALO,259746
2021-02-16 05:18,Red Hot Chili Peppers,Under the Bridge,264306
2021-02-16 05:20,Maggie Rogers,Color Song,130106
2021-02-16 05:23,Maggie Rogers,Alaska,188000
2021-02-16 05:27,Sylvan Esso,Coffee,269693
2021-02-16 05:31,Nightmares On Wax,You Wish,210466
2021-02-16 05:34,Omar Apollo,Hit Me Up,160000
2021-02-16 05:37,The Avett Brothers,Satan Pulls The Strings,188186
2021-02-16 05:40,The Avett Brothers,Ain't No Man,212346
2021-02-16 05:44,Maren Morris,The Bones - with Hozier,197298
2021-02-16 08:38,Horse Feathers,Belly of June,207080
2021-02-16 08:45,The Wood Brothers,Luckiest Man,130367
2021-02-16 08:47,The Five Stairsteps,O-o-h Child,89536
2021-02-17 03:26,AJR,I'm Ready,29700
2021-02-17 03:30,Ed Sheeran,The A Team,258373
2021-02-17 03:35,Sia,Breathe Me,272066
2021-02-17 03:39,Harry Styles,Falling,240133
2021-02-17 03:41,Tate McRae,you broke me first,169265
2021-02-17 03:46,James Bay,Let It Go,260533
2021-02-17 03:49,Billie Eilish,when the party's over,196077
2021-02-17 03:52,Conan Gray,Heather,198040
2021-02-17 03:56,Olivia Rodrigo,drivers license,242013
2021-02-17 05:30,Lewis Capaldi,Bruises,86786
2021-02-17 05:45,$K,MU$E,11897
2021-02-17 16:27,Mac Miller,The Spins,48030
2021-02-17 16:29,Cryst,I Just Want to Be the One You Love,121051
2021-02-17 16:31,Feardog,Someone,138181
2021-02-17 16:35,Louis Armstrong,La vie en rose - Single Version,204400
2021-02-17 19:24,Loφ'dog,Blind,78113
2021-02-17 19:24,A$AP Rocky,Sundress,812
2021-02-17 19:27,Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,192655
2021-02-17 19:27,Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,4133
2021-02-17 19:32,Black Eyed Peas,Imma Be,257560
2021-02-17 19:42,A$AP Rocky,Sundress,158205
2021-02-17 19:43,Kid Cudi,Tequila Shots,11517
2021-02-17 19:43,Kid Cudi,Mr. Rager,59917
2021-02-17 19:47,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",214692
2021-02-17 22:51,Asher Roth,Spaceship (feat. Buddy),172955
2021-02-17 22:53,Pretty Boy Aaron,Nicotine,133333
2021-02-17 22:56,Orion Sun,Antidote,169822
2021-02-17 22:59,Don Toliver,HAD ENOUGH (feat. Quavo & Offset),157133
2021-02-17 23:05,D'Angelo,Send It On,356493
2021-02-17 23:07,Lou Phelps,MUST BE,145173
2021-02-17 23:12,Jhené Aiko,Tryna Smoke,269853
2021-02-17 23:16,Kanye West,I Wonder,243440
2021-02-17 23:19,Anonymuz,We'll Be in Love,201909
2021-02-17 23:22,Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),166840
2021-02-17 23:26,JAWNZA,FACEDOWN,236106
2021-02-17 23:29,Still Woozy,Cooks,174105
2021-02-17 23:32,Old Man Saxon,Hasn't Happened,215047
2021-02-17 23:37,Lou Phelps,Come Inside (Kaytranada Edit),266599
2021-02-17 23:42,Raveena,Headaches,311536
2021-02-17 23:46,Ramirez,Gold Thangs & Pinky Rangs (Da Hooptie),264242
2021-02-17 23:50,Young Franco,Juice,211212
2021-02-18 00:31,Thundercat,Fair Chance,237699
2021-02-18 00:34,A Boogie Wit da Hoodie,Me and My Guitar,161764
2021-02-18 00:47,Deema,Maddie,155032
2021-02-18 00:51,Kota the Friend,Bagels,252285
2021-02-18 00:52,Jenevieve,Baby Powder,24984
2021-02-18 01:50,Jenevieve,Baby Powder,8010
