endTime,artistName,trackName,msPlayed
2021-07-03 22:20,Shots of Science Vs,Social Media: Is it Making Us Depressed? ,512603
2021-07-03 22:23,Russ,STATUS,143414
2021-07-03 22:26,The Beatles,I Saw Her Standing There - Remastered 2009,173946
2021-07-03 22:29,Yusuf / Cat Stevens,Wild World,200560
2021-07-03 22:31,Bella Poarch,Build a Bitch,122772
2021-07-03 22:34,Every Little Thing Minis,Is Brain Freeze Dangerous?,152934
2021-07-03 22:35,Glass Animals,Season 2 Episode 3,62554
2021-07-03 22:40,Glass Animals,The Other Side Of Paradise,320654
2021-07-03 22:44,The Doobie Brothers,Black Water - Single Version,258613
2021-07-03 22:50,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",310720
2021-07-03 22:50,We Hear: Quick Fix,"Angelina Jolie and The Weeknd’s outing sets the rumor mill ablaze, more",29628
2021-07-03 22:54,Firewoodisland,Storm,204431
2021-07-03 22:57,Sylvan Esso,Die Young,210613
2021-07-03 23:01,Red Hot Chili Peppers,Under the Bridge,264306
2021-07-03 23:02,The Avett Brothers,Satan Pulls The Strings,20716
2021-07-03 23:04,Train,Drops of Jupiter (Tell Me),116982
2021-07-03 23:04,Nicki Minaj,Starships,2205
2021-07-03 23:04,Macklemore & Ryan Lewis,White Walls (feat. ScHoolboy Q & Hollis),4272
2021-07-03 23:08,Eminem,The Monster,250188
2021-07-03 23:12,Flo Rida,Wild Ones (feat. Sia),232946
2021-07-03 23:16,Calvin Harris,Feel So Close - Radio Edit,206413
2021-07-03 23:19,Sean Kingston,Beautiful Girls,225373
2021-07-03 23:19,Katy Perry,Last Friday Night (T.G.I.F.),1380
2021-07-03 23:27,B.o.B,Airplanes (feat. Hayley Williams of Paramore),432587
2021-07-03 23:31,Eminem,Mockingbird,250760
2021-07-03 23:31,B.o.B,Airplanes (feat. Hayley Williams of Paramore),2205
2021-07-03 23:31,Jason Derulo,Ridin' Solo,2530
2021-07-03 23:31,Jason Derulo,Ridin' Solo,0
2021-07-03 23:32,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),28514
2021-07-03 23:32,T.I.,Whatever You Like,47113
2021-07-03 23:32,B.o.B,Nothin' on You (feat. Bruno Mars),3041
2021-07-03 23:32,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",3459
2021-07-03 23:36,Gotye,Somebody That I Used To Know,244973
2021-07-03 23:38,Kardinal Offishall,Dangerous,78491
2021-07-03 23:38,Soulja Boy,Crank That (Soulja Boy),3622
2021-07-03 23:42,Iyaz,Replay,182306
2021-07-03 23:47,Outkast,Hey Ya!,235213
2021-07-03 23:50,Train,Drive By,195973
2021-07-03 23:53,B.o.B,Magic (feat. Rivers Cuomo),196133
2021-07-03 23:56,Train,"Hey, Soul Sister",23521
2021-07-03 23:56,Travie McCoy,Billionaire (feat. Bruno Mars),152001
2021-07-03 23:59,King Harvest,Dancing in the Moonlight,181133
2021-07-04 00:06,Childish Gambino,Bonfire,169034
2021-07-04 00:13,The Backseat Lovers,Kilby Girl,282205
2021-07-04 00:16,ShooterGang Kony,Charlie,129807
2021-07-04 00:33,Just A Gent,Limelight (NGHTMRE Remix),254896
2021-07-04 00:41,Ozzy Osbourne,Crazy Train,293183
2021-07-04 00:43,Nelly Furtado,Promiscuous,131636
2021-07-04 00:44,GRiZ,Griztronics,43490
