endTime,artistName,trackName,msPlayed
2022-02-10 23:02,DDG,Moonwalking in Calabasas,163870
2022-02-10 23:05,Lil Baby,Sum 2 Prove,205760
2022-02-10 23:09,YG,Still Brazy,202520
2022-02-10 23:11,Jack Harlow,Way Out (feat. Big Sean),168906
2022-02-10 23:14,MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,172893
2022-02-10 23:17,YoungBoy Never Broke Again,Make No Sense,148629
2022-02-10 23:20,Baby Keem,STATS,169828
2022-02-10 23:22,AG Club,Brass,151379
2022-02-10 23:25,24kGoldn,VALENTINO,179133
2022-02-10 23:28,Flume,Enough,192293
2022-02-10 23:31,Katori Walker,Hometown,161306
2022-02-10 23:34,Larry June,Let's Drive To Vegas,171000
2022-02-10 23:38,Larry June,Smoothies In 1991,224347
2022-02-10 23:42,Cardo,Foreign Today,236657
2022-02-10 23:45,Ethereal,Beef,213333
2022-02-10 23:48,Lil Baby,Southside,173437
2022-02-10 23:50,Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),104911
2022-02-10 23:52,Shoreline Mafia,Gangstas & Sippas (feat. Q Da Fool),155346
2022-02-10 23:56,Ty Dolla $ign,"Spicy (feat. J Balvin, YG, Tyga & Post Malone) - Remix",221640
2022-02-10 23:59,A$AP Rocky,Distorted Records,140133
2022-02-11 00:02,Day Sulan,Bailar,205055
2022-02-11 00:06,Pusha T,Drug Dealers Anonymous,253786
2022-02-11 00:10,Felly,Desert Eagle,237480
2022-02-11 00:12,Aminé,Talk (feat. Saba),132893
2022-02-11 00:16,ALLBLACK,"Trip On It (feat. DaBoii, $tupid Young & Fenix Flexin)",210337
2022-02-11 00:20,Pacman da Gunman,Zero Tolerance,257062
2022-02-11 00:24,IDK,Cereal (feat. Kenny Mason),198862
2022-02-11 00:27,VIC MENSA,VICTORY,212386
2022-02-11 00:30,BROCKHAMPTON,BUZZCUT (feat. Danny Brown),201160
2022-02-11 00:34,Meek Mill,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",199746
2022-02-11 00:37,AG Club,NOHO (feat. ICECOLDBISHOP),182512
2022-02-11 00:40,Terror Reid,Uppercuts,180000
2022-02-11 00:43,2 Chainz,Grey Area,171837
2022-02-11 00:46,Drake,Wants and Needs (feat. Lil Baby),192956
2022-02-11 00:49,Benny The Butcher,Plug Talk (feat. 2 Chainz),195988
2022-02-11 00:52,Jayy Grams,Smok'n Grams,156585
2022-02-11 00:55,chillpill,"Moonwalk (feat. YBN Nahmir, Teejayx6 & Cousin Stizz)",175172
2022-02-11 00:58,IDK,Shoot My Shot,172105
2022-02-11 01:01,A$AP Mob,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",230920
2022-02-11 01:05,Diablo,Killing (feat. Terror Reid),180923
2022-02-11 01:07,Benny The Butcher,Talkin' Back (feat. Fat Joe),162528
2022-02-11 01:11,Lil Wayne,Mama Mia,225440
2022-02-11 01:14,YG,Bompton to Oak Park,164494
2022-02-11 01:18,Channel Tres,Black Moses (feat. JPEGMAFIA),260224
2022-02-11 01:20,Spinabenz,Who I Smoke,134186
2022-02-11 01:24,Isaiah Rashad,Smile,203371
2022-02-11 01:27,Isaiah Rashad,Lay Wit Ya (feat. Duke Deuce),202331
2022-02-11 01:29,Russ,SMALL TALK,121148
2022-02-11 01:32,SoGone SoFlexy,Big Wide Body,200275
2022-02-11 01:35,Mike Dimes,MY STORY (DLOG),164205
2022-02-11 01:38,D Smoke,Gaspar Yanga,135862
2022-02-11 01:42,A$AP Mob,"Young N***a Living (feat. A$AP Ferg, A$AP Ant & A$AP Twelvyy)",258880
2022-02-11 01:44,"Tyler, The Creator",LUMBERJACK,138312
2022-02-11 01:47,Anonymuz,No Threat,174592
2022-02-11 01:50,Freddie Gibbs,Big Boss Rabbit,178858
2022-02-11 01:53,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),166400
2022-02-11 01:55,IDK,PradadaBang,145897
2022-02-11 01:58,"Tyler, The Creator",CORSO,146481
2022-02-11 02:01,Polo G,RAPSTAR,165925
2022-02-11 02:02,Rich The Kid,Prada,93360
2022-02-11 02:04,SoGone SoFlexy,Nueces County,121500
2022-02-11 02:07,Barely Legal,Sugar Rush,183130
2022-02-11 02:10,YG,Gangsta,144599
2022-02-11 02:12,Kamaiyah,Players Club,141408
2022-02-11 02:13,YBN Nahmir,Opp Stoppa,65045
2022-02-11 02:15,Ski Mask The Slump God,The Matrix,130506
2022-02-11 02:18,Mike Dimes,NO TRENDS,151285
2022-02-11 02:20,Kamaiyah,Fuck It Up (feat. YG),141844
2022-02-11 02:24,Lil Uzi Vert,Homecoming,213884
2022-02-11 02:26,Dom Vallie,Vallie Mode,148349
2022-02-11 02:28,Joey Purp,CANDYPAINT,110759
2022-02-11 02:30,Smokepurpp,What I Please (feat. Denzel Curry),140369
2022-02-11 02:34,Metro Boomin,10 Freaky Girls (with 21 Savage),208293
2022-02-11 02:39,A$AP Mob,Yamborghini High (feat. Juicy J),302004
2022-02-11 02:41,Ameer Vann,Keep Your Distance,118627
2022-02-11 02:45,Lil Baby,Life Goes On,247054
2022-02-11 02:48,Thouxanbanfauni,ULTRA VIOLET,157944
2022-02-11 02:51,YGTUT,Bootleggers,216964
2022-02-11 02:55,Wifisfuneral,Wya? - Remix,214680
2022-02-11 02:58,Yeat,Monëy so big,160052
2022-02-11 03:01,Duckwrth,Super Bounce,218017
2022-02-11 03:04,KillBunk,Chanel Bag,158667
2022-02-11 03:08,Terror Reid,Outlawz,224000
2022-02-11 03:10,Frank Ocean,In My Room,133680
2022-02-11 03:13,Buddy,Hollyhood (feat. Kent Jamz),171459
2022-02-11 03:15,D Smoke,Gaspar Yanga,135862
2022-02-11 03:17,ShooterGang Kony,Charlie,129807
2022-02-11 03:20,Shoreline Mafia,Nun Major,151836
2022-02-11 03:22,Rexx Life Raj,Moonwalk,118967
2022-02-11 03:24,Lil Baby,Sum 2 Prove,1880
2022-02-11 03:24,DDG,Moonwalking in Calabasas,1416
2022-02-11 03:24,Terror Reid,Outlawz,1393
2022-02-11 03:24,Jack Harlow,Tyler Herro,2229
2022-02-11 03:24,21 Savage,Rich Nigga Shit (feat. Young Thug),104651
2022-02-11 03:55,YG,Still Brazy,202520
2022-02-11 05:09,Jack Harlow,Way Out (feat. Big Sean),168906
2022-02-11 05:11,MF DOOM,Rapp Snitch Knishes feat. Mr. Fantastik,172893
2022-02-11 05:14,YoungBoy Never Broke Again,Make No Sense,148629
2022-02-11 05:16,Baby Keem,STATS,161012
2022-02-11 05:16,AG Club,Brass,2020
2022-02-11 05:31,24kGoldn,VALENTINO,179133
2022-02-11 05:35,Flume,Enough,192293
2022-02-11 05:37,Katori Walker,Hometown,161306
2022-02-11 06:40,Larry June,Let's Drive To Vegas,171000
2022-02-11 06:44,Larry June,Smoothies In 1991,224347
2022-02-11 06:48,Cardo,Foreign Today,236657
2022-02-11 06:51,Ethereal,Beef,213333
2022-02-11 06:54,Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),44941
2022-02-11 06:54,Lil Baby,Southside,173437
2022-02-11 16:10,Bonobo,Black Sands,26798
2022-02-11 16:20,Daniel Caesar,TOO DEEP TO TURN BACK,18577
2022-02-11 16:44,Avicii,Trouble,26276
2022-02-11 16:44,Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),952
2022-02-11 16:44,John Legend,All of Me,6803
2022-02-11 16:44,Urban Cone,Old School,3413
2022-02-11 16:49,Tiësto,The Business,1462
2022-02-11 16:49,James TW,Incredible,7615
2022-02-11 16:49,Billie Eilish,when the party's over,1114
2022-02-11 16:49,B.o.B,HeadBand (feat. 2 Chainz) - Coucheron Remix,1300
2022-02-11 16:49,YNW Melly,223's (feat. 9lokknine),1323
2022-02-11 16:49,Caamp,By and By,280794
2022-02-11 16:55,YNW Melly,223's (feat. 9lokknine),176640
2022-02-11 16:59,B.o.B,HeadBand (feat. 2 Chainz) - Coucheron Remix,235384
2022-02-11 17:02,DJ Snake,U Are My High,180480
2022-02-11 17:05,Jazzinuf,With U,185142
2022-02-11 17:08,Quinn XCII,Straightjacket,206533
2022-02-11 17:12,The Grinns,Don't Look Back,243668
2022-02-11 17:15,Hotel Ugly,Shut up My Moms Calling,164571
2022-02-11 17:20,Mac Miller,Ladders,287040
2022-02-11 17:22,The Magician,Ready To Love,173106
2022-02-11 17:26,Yung Gravy,Mr. Clean,211149
2022-02-11 17:29,Ryan Beatty,Cupid,175324
2022-02-11 17:30,Marc Seguí,Tiroteo,77909
2022-02-11 17:33,The Beatles,Here Comes The Sun - Remastered 2009,185733
2022-02-11 18:58,The Beatles,Here Comes The Sun - Remastered 2009,185733
2022-02-11 19:35,The Beatles,Here Comes The Sun - Remastered 2009,3541
2022-02-11 19:35,The Beatles,Here Comes The Sun - Remastered 2009,26431
2022-02-11 19:39,The Beatles,Here Comes The Sun - Remastered 2009,185733
2022-02-11 19:43,The Beatles,Let It Be - Remastered 2009,243026
2022-02-11 19:47,The Beatles,Come Together - Remastered 2009,259946
2022-02-11 19:49,The Beatles,Yesterday - Remastered 2009,125666
2022-02-11 19:57,The Beatles,Hey Jude - Remastered 2015,414553
2022-02-11 19:57,The Beatles,Blackbird - Remastered 2009,11154
2022-02-11 20:03,Zack Fox,Jesus Is The One (I Got Depression),1207
2022-02-11 20:03,Day Sulan,Bailar,26749
2022-02-11 20:03,YG,Gangsta,3297
2022-02-11 20:03,Larry June,Smoothies In 1991,90186
2022-02-11 20:03,AG Club,Brass,3134
2022-02-11 20:30,Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),59972
2022-02-11 20:33,Shoreline Mafia,Gangstas & Sippas (feat. Q Da Fool),155346
2022-02-11 20:37,Ty Dolla $ign,"Spicy (feat. J Balvin, YG, Tyga & Post Malone) - Remix",221640
2022-02-11 20:39,A$AP Rocky,Distorted Records,140133
2022-02-11 20:42,Day Sulan,Bailar,205055
2022-02-11 20:47,Pusha T,Drug Dealers Anonymous,253786
2022-02-11 20:51,Felly,Desert Eagle,237480
2022-02-11 20:53,Aminé,Talk (feat. Saba),132893
2022-02-11 20:56,ALLBLACK,"Trip On It (feat. DaBoii, $tupid Young & Fenix Flexin)",210337
2022-02-11 21:01,Pacman da Gunman,Zero Tolerance,257062
