endTime,artistName,trackName,msPlayed
2021-11-06 08:56,BROCKHAMPTON,TOKYO,192126
2021-11-06 09:00,tobi lou,hot tub DREAM Machine,205714
2021-11-06 09:02,Isaiah Rashad,Darkseid,126618
2021-11-06 09:06,Duckwrth,Super Bounce,218017
2021-11-06 09:09,Saba,Photosynthesis,201732
2021-11-06 09:12,Omar Apollo,Hit Me Up,160000
2021-11-06 09:14,BROCKHAMPTON,COUNT ON ME,155200
2021-11-06 09:15,Tierra Whack,Pretty Ugly,60000
2021-11-06 09:18,Dominic Fike,3 Nights,177666
2021-11-06 09:21,Vince Staples,Norf Norf,183160
2021-11-06 09:24,Aries,ONE PUNCH,145371
2021-11-06 09:28,BROCKHAMPTON,BLEACH,273151
2021-11-06 09:31,Kevin Abstract,Peach,176732
2021-11-06 09:34,Aminé,Woodlawn,143152
2021-11-06 09:38,Kota the Friend,Long Beach,252778
2021-11-06 09:41,BROCKHAMPTON,DISTRICT,211506
2021-11-06 09:44,Dominic Fike,Chicken Tenders,170405
2021-11-06 09:47,Aries,BAD NEWS,164154
2021-11-06 09:50,Steve Lacy,Dark Red,173104
2021-11-06 09:53,Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),166840
2021-11-06 09:56,BROCKHAMPTON,LOVE ME FOR LIFE,215013
2021-11-06 09:57,Remi Wolf,Sexy Villain,30023
2021-11-06 17:28,Remi Wolf,Sexy Villain,3940
2021-11-06 17:32,Mac DeMarco,Brother,212746
2021-11-06 17:35,Protoje,Who Knows,208466
2021-11-06 17:39,Chronixx,Here Comes Trouble,234586
2021-11-06 17:41,KILLY,No Sad No Bad,131500
2021-11-06 17:45,Chezidek,All My Life,228250
2021-11-06 17:49,Surfaces,Heaven Falls / Fall on Me,240597
2021-11-06 17:53,BØRNS,Electric Love,218106
2021-11-06 17:57,Rex Orange County,Sunflower,252230
2021-11-06 18:01,Vance Joy,Saturday Sun,214720
2021-11-06 18:04,Bryce Vine,Sunflower Seeds,228610
2021-11-06 18:09,Fantan Mojah,Rasta Got Soul,265082
2021-11-06 21:08,Chronixx,"Selassie Souljahz (feat. Sizzla Kalonji, Protoje, Kabaka Pyramid)",223864
2021-11-06 21:09,Bruno Mars,Skate,2752
2021-11-06 21:51,Bruno Mars,Skate,203122
2021-11-06 21:53,Bruno Mars,Versace on the Floor,149218
2021-11-06 21:57,Bruno Mars,Smokin Out The Window,197442
2021-11-06 22:00,Bruno Mars,Skate,203122
2021-11-06 22:04,Bruno Mars,Leave The Door Open,242096
2021-11-06 22:08,Jeremih,oui,238320
2021-11-06 22:12,Bruno Mars,Skate,203122
2021-11-06 22:15,Sam Smith,I'm Not The Only One,239316
2021-11-06 22:19,Ruel,Painkiller,213506
2021-11-06 22:22,Niall Horan,Slow Hands,188174
2021-11-06 22:26,Bruno Mars,That's What I Like,206693
2021-11-07 01:52,The Vamps,All Night,119456
2021-11-07 02:16,Kidz Bop Kids,Savage Love,47252
2021-11-07 07:19,Bruno Mars,Skate,134132
2021-11-07 07:19,The Avalanches,Since I Left You,952
2021-11-07 07:19,Bruno Mars,Marry You,19217
2021-11-07 07:19,Solange,Way to the Show,2809
2021-11-07 07:22,BabyJake,Do I Fit In Your Shoes?,165733
2021-11-07 07:24,BETWEEN FRIENDS,affection,100424
2021-11-07 07:25,reggie,AIN'T GON STOP ME,96000
2021-11-07 07:34,PawPaw Rod,Glass House,171977
2021-11-07 07:36,Quadeca,Uh Huh!,99451
2021-11-07 07:39,KillBunk,Chanel Bag,158667
